,Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,Longitude,Latitude
1054,3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",274,2900000,Cairo,Egypt,buy,45617000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1055,3,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",187,4300000,Cairo,Egypt,buy,67639000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
1056,3,3,"Degla Square, Degla, Hay El Maadi, Cairo",210,3500000,Cairo,Egypt,buy,55055000.0,Apartment,Hay El Maadi,29.9925522,31.279391600000004
1057,4,4,"Degla Square, Degla, Hay El Maadi, Cairo",300,6000000,Cairo,Egypt,buy,94380000.0,Apartment,Hay El Maadi,29.9925522,31.279391600000004
1058,5,5,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",450,25000000,Cairo,Egypt,buy,393250000.0,Villa,New Cairo City,29.9921014,31.4046293
1059,5,6,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",286,6020000,Cairo,Egypt,buy,94694600.0,Villa,New Cairo City,30.06310285,31.455447475107487
1060,3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",172,1750000,Cairo,Egypt,buy,27527500.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1061,4,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",350,7500000,Cairo,Egypt,buy,117975000.0,Apartment,Hay El Maadi,30.048819,31.243666
1062,4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",390,9500000,Cairo,Egypt,buy,149435000.0,Villa,New Cairo City,30.06310285,31.455447475107487
1064,3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",224,2400000,Cairo,Egypt,buy,37752000.0,iVilla,New Cairo City,30.06310285,31.455447475107487
1065,3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",166,1850000,Cairo,Egypt,buy,29100500.0,Penthouse,New Cairo City,30.06310285,31.455447475107487
1066,3,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",307,9560000,Cairo,Egypt,buy,150378800.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
1067,3,2,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",145,3049546,Cairo,Egypt,buy,47969358.58,Apartment,New Cairo City,30.02012785,31.498220627134504
1069,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",230,4000000,Cairo,Egypt,buy,62920000.0,Twin House,New Cairo City,30.06310285,31.455447475107487
1070,4,5,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,2850000,Cairo,Egypt,buy,44830500.0,iVilla,New Cairo City,30.06310285,31.455447475107487
1071,4,4,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",278,2850000,Cairo,Egypt,buy,44830500.0,iVilla,New Cairo City,30.06310285,31.455447475107487
1072,3,3,"Al Riyadh Secon, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",165,1978000,Cairo,Egypt,buy,31113940.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1073,6,6,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","1,300",55000000,Cairo,Egypt,buy,865150000.0,Villa,New Cairo City,29.9921014,31.4046293
1075,2,2,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",141,1500000,Cairo,Egypt,buy,23595000.0,iVilla,New Cairo City,30.06310285,31.455447475107487
1077,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186,3500000,Cairo,Egypt,buy,55055000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1078,2,2,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",156,3380000,Cairo,Egypt,buy,53167400.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1079,3,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",194,3500000,Cairo,Egypt,buy,55055000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1080,3,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",250,4300000,Cairo,Egypt,buy,67639000.0,Apartment,Hay El Maadi,30.048819,31.243666
1083,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",200,3280000,Cairo,Egypt,buy,51594400.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1085,2,2,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",156,1900000,Cairo,Egypt,buy,29887000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1086,4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",279,5320000,Cairo,Egypt,buy,83683600.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
1087,1,2,"Al Nady Al Gedid St., New Maadi, Hay El Maadi, Cairo",65,1000000,Cairo,Egypt,buy,15730000.0,Apartment,Hay El Maadi,29.9925522,31.279391600000004
1088,3,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",300,5500000,Cairo,Egypt,buy,86515000.0,Duplex,Hay El Maadi,30.048819,31.243666
1089,2,3,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",115,603750,Cairo,Egypt,buy,9496987.5,Apartment,New Cairo City,30.02012785,31.498220627134504
1090,5,5,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",400,6650000,Cairo,Egypt,buy,104604500.0,Villa,New Cairo City,30.06310285,31.455447475107487
1091,5,6,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",454,8500000,Cairo,Egypt,buy,133705000.0,Villa,New Cairo City,30.06310285,31.455447475107487
1092,4,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",197,3400000,Cairo,Egypt,buy,53482000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
1093,4,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",239,4300000,Cairo,Egypt,buy,67639000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1094,3,2,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",153,3150000,Cairo,Egypt,buy,49549500.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
1095,6,5,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",417,12949000,Cairo,Egypt,buy,203687770.0,Villa,New Cairo City,30.02012785,31.498220627134504
1096,6,5,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",521,10901000,Cairo,Egypt,buy,171472730.0,Villa,New Cairo City,30.02012785,31.498220627134504
1097,2,2,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",137,1550000,Cairo,Egypt,buy,24381500.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1098,7,5,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo","1,400",45000000,Cairo,Egypt,buy,707850000.0,Villa,New Cairo City,29.9921014,31.4046293
1099,3,3,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",235,2300000,Cairo,Egypt,buy,36179000.0,Penthouse,New Cairo City,30.06310285,31.455447475107487
1100,3,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",185,2900000,Cairo,Egypt,buy,45617000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1101,3,3,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",280,2391581,Cairo,Egypt,buy,37619569.13,Duplex,New Cairo City,30.06310285,31.455447475107487
1103,4,5,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,3630000,Cairo,Egypt,buy,57099900.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1104,4,4,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",380,5100000,Cairo,Egypt,buy,80223000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
1105,2,2,"Marvel City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",155,2300000,Cairo,Egypt,buy,36179000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1106,4,4,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",702,43000000,Cairo,Egypt,buy,676390000.0,Villa,New Cairo City,29.9921014,31.4046293
1107,7,7+,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,000",27500000,Cairo,Egypt,buy,432575000.0,Villa,New Cairo City,30.06310285,31.455447475107487
1108,5,5,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",550,9700000,Cairo,Egypt,buy,152581000.0,Villa,New Cairo City,30.06310285,31.455447475107487
1110,3,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",300,5250000,Cairo,Egypt,buy,82582500.0,Apartment,Hay El Maadi,30.048819,31.243666
1111,2,2,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",130,1230000,Cairo,Egypt,buy,19347900.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1112,2,3,"Fifth Square, North Investors Area, New Cairo City, Cairo",147,2940000,Cairo,Egypt,buy,46246200.0,Apartment,New Cairo City,30.02012785,31.498220627134504
