,Location,price_EGP,price_usd,property_type,Beds,Baths,Square Meter,city,sub_div
588,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",15000000.0,236400000.0,Villa,4,3,515, Giza, Sheikh Zayed City
589,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast",30000000.0,472800000.0,Villa,4,4,900, North Coast, Qesm Ad Dabaah
590,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2850000.0,44916000.0,iVilla,4,4,278, Cairo, New Cairo City
591,"Zayed Dunes, 6th District, Sheikh Zayed City, Giza",1850000.0,29156000.0,Apartment,3,3,198, Giza, Sheikh Zayed City
592,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1850000.0,29156000.0,Penthouse,3,2,166, Cairo, New Cairo City
593,"Marassi, Sidi Abdel Rahman, North Coast",11300000.0,178088000.0,Villa,5,5,600, North Coast, Sidi Abdel Rahman
594,"O West, 6 October Compounds, 6 October City, Giza",2300000.0,36248000.0,Apartment,2,2,120, Giza, 6 October City
595,"Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",9500000.0,149720000.0,Townhouse,4,3,300, Giza, Sheikh Zayed City
596,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1374400.0,21660544.0,Apartment,3,3,211, Cairo, New Cairo City
597,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",743000.0,11709680.0,Apartment,3,1,125, Cairo, New Cairo City
598,"Azha, Al Ain Al Sokhna, Suez",605000.0,9534800.0,Chalet,2,2,100, Suez, Al Ain Al Sokhna
599,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",1275000.0,20094000.0,Apartment,2,1,195, Cairo, New Cairo City
600,"La Sirena Mini, Al Ain Al Sokhna, Suez",675000.0,10638000.0,Chalet,1,1,65, Suez, Al Ain Al Sokhna
601,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",1660000.0,26161600.0,Duplex,3,2,270, Cairo, New Cairo City
602,"Town Gate, New Capital Compounds, New Capital City, Cairo",1890000.0,29786400.0,Apartment,3,3,150, Cairo, New Capital City
603,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",10500000.0,165480000.0,Villa,4,5,596, Cairo, New Cairo City
604,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1800000.0,28368000.0,Apartment,3,3,173, Cairo, New Cairo City
605,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",2125000.0,33490000.0,Apartment,3,2,330, Cairo, New Cairo City
606,"Villino, North Investors Area, New Cairo City, Cairo",4500000.0,70920000.0,Villa,4,4,313, Cairo, New Cairo City
607,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",1080000.0,17020800.0,Apartment,3,1,165, Cairo, New Cairo City
608,"Mountain View October Park, 6th District, 6 October City, Giza",2250000.0,35460000.0,iVilla,3,2,256, Giza, 6 October City
609,"North Edge Towers, New Alamein City, North Coast",5000000.0,78800000.0,Apartment,2,2,115, North Coast, New Alamein City
610,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9750000.0,153660000.0,Villa,4,4,391, Cairo, New Cairo City
611,"Ein Bay 2, Al Ain Al Sokhna, Suez",6900000.0,108744000.0,Twin House,4,5,350, Suez, Al Ain Al Sokhna
612,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",2130000.0,33568800.0,Apartment,2,2,175, Giza, 6 October City
613,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3000000.0,47280000.0,Apartment,2,2,156, Cairo, New Cairo City
614,"Midtown, South Investors Area, New Cairo City, Cairo",2650000.0,41764000.0,Apartment,3,2,225, Cairo, New Cairo City
615,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4800000.0,75648000.0,Duplex,4,5,310, Cairo, New Cairo City
616,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",4250000.0,66980000.0,Duplex,3,3,240, Cairo, New Cairo City
