Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,lat,lon
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",391,9600000, Cairo,Egypt,buy,151008000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,3,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",345,4500000, Cairo,Egypt,buy,70785000.0,Penthouse, New Cairo City,30.06310285,31.45544747510749
4,4,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",233,3400000, Cairo,Egypt,buy,53482000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
3,3,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",190,2100000, Cairo,Egypt,buy,33033000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
2,2,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",155,1700000, Cairo,Egypt,buy,26741000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
4,4,"Hacienda Bay, Sidi Abdel Rahman, North Coast",360,5300000, North Coast,Egypt,buy,83369000.0,Villa, Sidi Abdel Rahman,0.0,0.0
2,3,"La Vista Gardens, La Vista, Al Ain Al Sokhna, Suez",150,2500000, Suez,Egypt,buy,39325000.0,Chalet, Al Ain Al Sokhna,0.0,0.0
2,studio,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",88,950000, Cairo,Egypt,buy,14943500.0,Apartment, New Cairo City,30.06310285,31.45544747510749
3,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",189,3200000, Cairo,Egypt,buy,50336000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",341,6900000, Cairo,Egypt,buy,108537000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
2,3,"Green Avenue, New Capital Compounds, New Capital City, Cairo",158,1580000, Cairo,Egypt,buy,24853400.0,Apartment, New Capital City,0.0,0.0
5,5,"Al Diyar, Al Narges, New Cairo City, Cairo",650,15500000, Cairo,Egypt,buy,243815000.0,Villa, New Cairo City,30.02012785,31.498220627134504
4,4,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",316,5400000, Cairo,Egypt,buy,84942000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
4,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",303,6000000, Cairo,Egypt,buy,94380000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
2,3,"Emaar Road, Nadi Al Sekka Al Hadid, Nasr City, Cairo",114,1105800, Cairo,Egypt,buy,17394234.0,Apartment, Nasr City,30.0521177,31.3422045
