Baths,Beds,Location,Square Meter,base_price,city,country,page,property_type,sub_div
4,4,"West Golf, El Katameya Compounds, El Katameya, New Cairo City, Cairo",300,40000, Cairo,egypt,rent,Penthouse, New Cairo City
2,3,"Area B, Ganoob El Acadimia, New Cairo City, Cairo",205,6500, Cairo,egypt,rent,Apartment, New Cairo City
5,5,"Arabella, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",650,95000, Cairo,egypt,rent,Villa, New Cairo City
1,2,"Madinaty, Cairo",107,10000, Cairo,egypt,rent,Apartment,Madinaty
4,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",350,52800, Cairo,egypt,rent,Apartment, Hay El Maadi
3,4,"Mohamed Mazhar St., Zamalek, Cairo",300,40000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Mohamed Mazhar St., Zamalek, Cairo",250,48000, Cairo,egypt,rent,Apartment, Zamalek
2,2,"Sarayat Al Maadi, Hay El Maadi, Cairo",160,21000, Cairo,egypt,rent,Apartment, Hay El Maadi
4,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",300,35000, Cairo,egypt,rent,Apartment, Hay El Maadi
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",312,23000, Cairo,egypt,rent,Twin House, New Cairo City
3,2,"Porto New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",146,17000, Cairo,egypt,rent,Duplex, New Cairo City
2,2,"Mohamed Mazhar St., Zamalek, Cairo",225,55000, Cairo,egypt,rent,Apartment, Zamalek
2,1,"Victoria Square, Degla, Hay El Maadi, Cairo",110,10000, Cairo,egypt,rent,Apartment, Hay El Maadi
3,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",225,26000, Cairo,egypt,rent,Apartment, Hay El Maadi
4,5,"Street 6, Maadi, Hay El Maadi, Cairo",400,15000, Cairo,egypt,rent,Apartment, Hay El Maadi
7,7+,"Zizinia Rose, Ext North Inves Area, New Cairo City, Cairo",800,35000, Cairo,egypt,rent,Villa, New Cairo City
2,2,"Bahaa Eldeen Krakoush St., Zamalek, Cairo",180,32000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Alto, Uptown Cairo, Mokattam, Cairo",200,17000, Cairo,egypt,rent,Apartment, Mokattam
2,2,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",130,25000, Cairo,egypt,rent,Apartment, New Cairo City
4,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",300,56000, Cairo,egypt,rent,Apartment, Hay El Maadi
2,1,"Sarayat Al Maadi, Hay El Maadi, Cairo",120,20000, Cairo,egypt,rent,Apartment, Hay El Maadi
3,3,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",180,20000, Cairo,egypt,rent,Apartment, New Cairo City
3,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",250,47000, Cairo,egypt,rent,Apartment, Hay El Maadi
2,2,"Ismail Mohamed St., Zamalek, Cairo",120,21000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",203,15000, Cairo,egypt,rent,Apartment, New Cairo City
4,4,"Sarayat Al Maadi, Hay El Maadi, Cairo",320,39000, Cairo,egypt,rent,Apartment, Hay El Maadi
3,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",220,23000, Cairo,egypt,rent,Apartment, Hay El Maadi
3,3,"The Waterway, Qesm Ad Dabaah, North Coast",216,28000, North Coast,egypt,rent,Apartment, Qesm Ad Dabaah
3,3,"The Water Way, North Investors Area, New Cairo City, Cairo",230,35000, Cairo,egypt,rent,Apartment, New Cairo City
4,4,"Street 213, Degla, Hay El Maadi, Cairo",250,60800, Cairo,egypt,rent,Apartment, Hay El Maadi
3,4,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",350,63000, Cairo,egypt,rent,Twin House, New Cairo City
3,3,"Mohamed Mazhar St., Zamalek, Cairo",200,40000, Cairo,egypt,rent,Apartment, Zamalek
3,3,"Bahaa Eldeen Krakoush St., Zamalek, Cairo",200,44000, Cairo,egypt,rent,Apartment, Zamalek
4,3,"Sarayat Al Maadi, Hay El Maadi, Cairo",250,40000, Cairo,egypt,rent,Apartment, Hay El Maadi
2,2,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",190,56000, Cairo,egypt,rent,Apartment, New Cairo City
5,5,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",750,160000, Cairo,egypt,rent,Villa, New Cairo City
5,5,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","1,000",111000, Cairo,egypt,rent,Villa, New Cairo City
2,2,"Ahmed Heshmat St., Zamalek, Cairo",160,20000, Cairo,egypt,rent,Apartment, Zamalek
